2022-10-22 02:45:11, Epoch: [0 / 90], step: [0 / 900], loss: 0.05316885, lr: 0.0003
2022-10-22 02:45:41, Epoch: [0 / 90], step: [50 / 900], loss: 0.042806547, lr: 0.00032333334
2022-10-22 02:46:14, Epoch: [0 / 90], step: [100 / 900], loss: 0.042237792, lr: 0.00034666667
2022-10-22 02:46:47, Epoch: [0 / 90], step: [150 / 900], loss: 0.037378073, lr: 0.00037
2022-10-22 02:47:19, Epoch: [0 / 90], step: [200 / 900], loss: 0.04203793, lr: 0.00039333332
2022-10-22 02:47:52, Epoch: [0 / 90], step: [250 / 900], loss: 0.047157127, lr: 0.00041666668
2022-10-22 02:48:25, Epoch: [0 / 90], step: [300 / 900], loss: 0.040730238, lr: 0.00044
2022-10-22 02:48:58, Epoch: [0 / 90], step: [350 / 900], loss: 0.041094124, lr: 0.00046333333
2022-10-22 02:49:31, Epoch: [0 / 90], step: [400 / 900], loss: 0.05939051, lr: 0.00048666666
2022-10-22 02:50:04, Epoch: [0 / 90], step: [450 / 900], loss: 0.04558371, lr: 0.00051
2022-10-22 02:50:37, Epoch: [0 / 90], step: [500 / 900], loss: 0.05808767, lr: 0.00053333334
2022-10-22 02:51:09, Epoch: [0 / 90], step: [550 / 900], loss: 0.050443318, lr: 0.0005566667
2022-10-22 02:51:42, Epoch: [0 / 90], step: [600 / 900], loss: 0.053914458, lr: 0.00058
2022-10-22 02:52:15, Epoch: [0 / 90], step: [650 / 900], loss: 0.045138367, lr: 0.00060333335
2022-10-22 02:52:48, Epoch: [0 / 90], step: [700 / 900], loss: 0.04089704, lr: 0.00062666665
2022-10-22 02:53:21, Epoch: [0 / 90], step: [750 / 900], loss: 0.043578107, lr: 0.00065
2022-10-22 02:53:53, Epoch: [0 / 90], step: [800 / 900], loss: 0.046426415, lr: 0.00067333336
2022-10-22 02:54:26, Epoch: [0 / 90], step: [850 / 900], loss: 0.04228772, lr: 0.00069666666
    background: 99.90, kidney: 94.43 
2022-10-22 02:56:07, Epoch: [1 / 90], step: [0 / 900], loss: 0.04463587, lr: 0.00072
2022-10-22 02:56:40, Epoch: [1 / 90], step: [50 / 900], loss: 0.038002267, lr: 0.0007433333
2022-10-22 02:57:13, Epoch: [1 / 90], step: [100 / 900], loss: 0.03576298, lr: 0.00076666666
2022-10-22 02:57:45, Epoch: [1 / 90], step: [150 / 900], loss: 0.041063644, lr: 0.00079
2022-10-22 02:58:18, Epoch: [1 / 90], step: [200 / 900], loss: 0.03339311, lr: 0.0008133333
2022-10-22 02:58:51, Epoch: [1 / 90], step: [250 / 900], loss: 0.06663917, lr: 0.0008366667
2022-10-22 02:59:23, Epoch: [1 / 90], step: [300 / 900], loss: 0.048328485, lr: 0.00086
2022-10-22 02:59:55, Epoch: [1 / 90], step: [350 / 900], loss: 0.029004, lr: 0.0008833333
2022-10-22 03:00:28, Epoch: [1 / 90], step: [400 / 900], loss: 0.043740693, lr: 0.0009066667
2022-10-22 03:01:00, Epoch: [1 / 90], step: [450 / 900], loss: 0.04530273, lr: 0.00093
2022-10-22 03:01:32, Epoch: [1 / 90], step: [500 / 900], loss: 0.038994864, lr: 0.00095333334
2022-10-22 03:02:04, Epoch: [1 / 90], step: [550 / 900], loss: 0.05090859, lr: 0.0009766667
2022-10-22 03:02:37, Epoch: [1 / 90], step: [600 / 900], loss: 0.53412, lr: 0.001
2022-10-22 03:03:09, Epoch: [1 / 90], step: [650 / 900], loss: 0.1624998, lr: 0.0009999991
2022-10-22 03:03:41, Epoch: [1 / 90], step: [700 / 900], loss: 0.07074028, lr: 0.0009999962
2022-10-22 03:04:14, Epoch: [1 / 90], step: [750 / 900], loss: 0.06269793, lr: 0.0009999915
2022-10-22 03:04:47, Epoch: [1 / 90], step: [800 / 900], loss: 0.055836666, lr: 0.0009999849
2022-10-22 03:05:19, Epoch: [1 / 90], step: [850 / 900], loss: 0.0437692, lr: 0.0009999765
    background: 99.83, kidney: 90.71 
2022-10-22 03:06:59, Epoch: [2 / 90], step: [0 / 900], loss: 0.085532956, lr: 0.0009999662
2022-10-22 03:07:33, Epoch: [2 / 90], step: [50 / 900], loss: 0.06395517, lr: 0.000999954
2022-10-22 03:08:06, Epoch: [2 / 90], step: [100 / 900], loss: 0.051191494, lr: 0.0009999399
2022-10-22 03:08:39, Epoch: [2 / 90], step: [150 / 900], loss: 0.04868252, lr: 0.0009999238
2022-10-22 03:09:12, Epoch: [2 / 90], step: [200 / 900], loss: 0.05776626, lr: 0.000999906
2022-10-22 03:09:46, Epoch: [2 / 90], step: [250 / 900], loss: 0.057416193, lr: 0.0009998862
2022-10-22 03:10:19, Epoch: [2 / 90], step: [300 / 900], loss: 0.04764331, lr: 0.0009998647
2022-10-22 03:10:52, Epoch: [2 / 90], step: [350 / 900], loss: 0.044160426, lr: 0.0009998411
2022-10-22 03:11:25, Epoch: [2 / 90], step: [400 / 900], loss: 0.048041124, lr: 0.0009998158
2022-10-22 03:11:58, Epoch: [2 / 90], step: [450 / 900], loss: 0.04807345, lr: 0.0009997885
2022-10-22 03:12:30, Epoch: [2 / 90], step: [500 / 900], loss: 0.0742551, lr: 0.0009997593
2022-10-22 03:13:03, Epoch: [2 / 90], step: [550 / 900], loss: 0.044720504, lr: 0.0009997283
2022-10-22 03:13:36, Epoch: [2 / 90], step: [600 / 900], loss: 0.04433262, lr: 0.0009996954
2022-10-22 03:14:08, Epoch: [2 / 90], step: [650 / 900], loss: 0.14471737, lr: 0.0009996606
2022-10-22 03:14:41, Epoch: [2 / 90], step: [700 / 900], loss: 0.06729536, lr: 0.000999624
2022-10-22 03:15:13, Epoch: [2 / 90], step: [750 / 900], loss: 0.049806718, lr: 0.0009995855
2022-10-22 03:15:46, Epoch: [2 / 90], step: [800 / 900], loss: 0.039799403, lr: 0.000999545
2022-10-22 03:16:19, Epoch: [2 / 90], step: [850 / 900], loss: 0.045847096, lr: 0.0009995027
    background: 99.89, kidney: 93.96 
